repo https://github.com/CBIIT/ccdi-dcc-model
commit c775375
node	property	value_or_TYPE
cell_line	cell_line_id	STRING
cell_line	cell_line_passage_number	NUMBER
cell_line	guid	STRING
cell_line	source	STRING
clinical_measure_file	acl	STRING
clinical_measure_file	authz	STRING
clinical_measure_file	checksum_algorithm	STRING
clinical_measure_file	checksum_value	STRING
clinical_measure_file	clinical_measure_file_id	STRING
clinical_measure_file	crdc_id	STRING
clinical_measure_file	dcf_indexd_guid	STRING
clinical_measure_file	file_access	Controlled
clinical_measure_file	file_access	Open
clinical_measure_file	file_description	STRING
clinical_measure_file	file_mapping_level	Participant
clinical_measure_file	file_mapping_level	Sample
clinical_measure_file	file_mapping_level	Study
clinical_measure_file	file_name	STRING
clinical_measure_file	file_size	INTEGER
clinical_measure_file	file_type	EXTERNAL
clinical_measure_file	file_url	STRING
clinical_measure_file	guid	STRING
clinical_measure_file	md5sum	STRING
clinical_measure_file	participant_list	STRING
consent_group	consent_group_id	STRING
consent_group	consent_group_name	GRU
consent_group	consent_group_name	HMB
consent_group	consent_group_suffix	STRING
consent_group	guid	STRING
cytogenomic_file	acl	STRING
cytogenomic_file	authz	STRING
cytogenomic_file	crdc_id	STRING
cytogenomic_file	cytogenomic_file_id	STRING
cytogenomic_file	cytogenomic_platform	STRING
cytogenomic_file	dcf_indexd_guid	STRING
cytogenomic_file	file_access	Controlled
cytogenomic_file	file_access	Open
cytogenomic_file	file_description	STRING
cytogenomic_file	file_mapping_level	Participant
cytogenomic_file	file_mapping_level	Sample
cytogenomic_file	file_mapping_level	Study
cytogenomic_file	file_name	STRING
cytogenomic_file	file_size	INTEGER
cytogenomic_file	file_type	EXTERNAL
cytogenomic_file	file_url	STRING
cytogenomic_file	guid	STRING
cytogenomic_file	md5sum	STRING
diagnosis	age_at_diagnosis	NUMBER
diagnosis	diagnosis	EXTERNAL
diagnosis	diagnosis_comment	STRING
diagnosis	diagnosis_id	STRING
diagnosis	disease_phase	EXTERNAL
diagnosis	guid	STRING
diagnosis	laterality	Bilateral
diagnosis	laterality	Left
diagnosis	laterality	Midline
diagnosis	laterality	Not Applicable
diagnosis	laterality	Not Reported
diagnosis	laterality	Not Specified
diagnosis	laterality	Right
diagnosis	laterality	Unknown
diagnosis	submitted_diagnosis	EXTERNAL
diagnosis	toronto_childhood_cancer_staging	EXTERNAL
diagnosis	tumor_grade	G1 Low Grade
diagnosis	tumor_grade	G2 Intermediate Grade
diagnosis	tumor_grade	G3 High Grade
diagnosis	tumor_grade	G4 Anaplastic
diagnosis	tumor_grade	GB Borderline
diagnosis	tumor_grade	GX Grade Cannot Be Assessed
diagnosis	tumor_grade	Not Applicable
diagnosis	tumor_grade	Not Reported
diagnosis	tumor_grade	Unknown
diagnosis	tumor_grade_source	STRING
diagnosis	tumor_spatial_extent	Local
diagnosis	tumor_spatial_extent	Locoregional
diagnosis	tumor_spatial_extent	Metastatic
diagnosis	tumor_spatial_extent	Not Applicable
diagnosis	tumor_spatial_extent	Not Reported
diagnosis	tumor_spatial_extent	Regional
diagnosis	tumor_spatial_extent	Unknown
diagnosis	tumor_stage_clinical_m	EXTERNAL
diagnosis	tumor_stage_clinical_n	EXTERNAL
diagnosis	tumor_stage_clinical_t	EXTERNAL
diagnosis	tumor_stage_source	AJCC Lymph Node N Stage
diagnosis	tumor_stage_source	AJCC Metastasis M Stage
diagnosis	tumor_stage_source	AJCC Tumor T Stage
diagnosis	tumor_stage_source	Toronto Childhood Cancer Stage Guidelines
diagnosis	year_of_diagnosis	STRING
exposure	age_at_exposure	NUMBER
exposure	alcohol_days_per_week	NUMBER
exposure	alcohol_drinks_per_day	NUMBER
exposure	alcohol_history	No
exposure	alcohol_history	Not Reported
exposure	alcohol_history	Unknown
exposure	alcohol_history	Yes
exposure	alcohol_intensity	Drinker
exposure	alcohol_intensity	Heavy Drinker
exposure	alcohol_intensity	Lifelong Non-Drinker
exposure	alcohol_intensity	Non-Drinker
exposure	alcohol_intensity	Not Reported
exposure	alcohol_intensity	Occasional Drinker
exposure	alcohol_intensity	Unknown
exposure	asbestos_exposure	No
exposure	asbestos_exposure	Not Reported
exposure	asbestos_exposure	Unknown
exposure	asbestos_exposure	Yes
exposure	cigarettes_per_day	INTEGER
exposure	coal_dust_exposure	No
exposure	coal_dust_exposure	Not Reported
exposure	coal_dust_exposure	Unknown
exposure	coal_dust_exposure	Yes
exposure	environmental_tobacco_smoke_exposure	No
exposure	environmental_tobacco_smoke_exposure	Not Reported
exposure	environmental_tobacco_smoke_exposure	Unknown
exposure	environmental_tobacco_smoke_exposure	Yes
exposure	exposure_id	STRING
exposure	guid	STRING
exposure	pack_years_smoked	NUMBER
exposure	radon_exposure	No
exposure	radon_exposure	Not Reported
exposure	radon_exposure	Unknown
exposure	radon_exposure	Yes
exposure	respirable_crystalline_silica_exposure	No
exposure	respirable_crystalline_silica_exposure	Not Reported
exposure	respirable_crystalline_silica_exposure	Unknown
exposure	respirable_crystalline_silica_exposure	Yes
exposure	smoking_frequency	Every day
exposure	smoking_frequency	Not Reported
exposure	smoking_frequency	Some days
exposure	smoking_frequency	Unknown
